"output" "labor" "capital" "province" "ownership" "industry" "list"
16699 457 18636 29 3 12 0
25751 458 12405 25 3 19 0
12596 460 8011 15 3 21 0
13000 460 15000 21 2 19 0
14558 460 11001 4 3 19 1
23892 460 14016 29 3 3 0
45804 460 40062 29 4 5 0
18000 464 4300 18 3 14 0
15022 465 3794 15 3 12 0
14587 467 41380 6 4 16 1
67989 467 29931 21 3 17 0
23000 468 9008 5 4 13 0
51200 468 6120 16 2 17 0
52001 475 32746 15 3 26 0
18097 477 14261 15 3 5 0
163400 478 33845 15 3 17 0
78560 479 14793 15 6 19 0
13099 480 12315 30 4 5 0
13800 480 6500 5 3 19 0
13992 480 8776 15 2 21 0
14098 480 14871 22 3 5 0
15000 480 5000 15 2 10 0
15860 480 2234 29 1 16 0
16091 480 7275 15 1 22 0
19769 480 24359 5 3 5 0
20000 480 4768 29 3 17 0
22751 480 12605 21 3 3 0
26000 480 35000 2 1 2 0
33944 480 15870 29 3 29 0
48140 480 9218 15 2 17 0
20159 481 16441 29 4 3 0
48368 481 37526 29 3 5 0
12300 482 6233 15 2 3 0
13016 482 21567 6 3 5 0
24216 483 124171 30 2 4 0
15002 486 17823 11 3 18 0
20557 486 13277 29 3 12 0
36595 487 26791 29 3 5 0
52637 489 206360 16 4 7 0
18723 490 18470 29 3 27 0
29827 490 7628 15 2 10 0
28019 491 20232 24 5 21 0
19451 492 11563 15 3 12 0
20247 495 39435 29 2 12 0
29157 496 25909 29 3 21 0
39877 497 27273 29 3 12 0
44953 497 32621 5 4 16 0
12156 500 6786 15 3 3 0
12390 500 12664 4 3 1 0
12500 500 5099 15 5 13 0
12600 500 11100 29 5 7 0
13000 500 10000 29 5 21 0
13836 500 38362 17 2 4 0
14000 500 2800 22 3 5 0
15600 500 4850 29 2 12 0
15795 500 29561 24 5 10 0
15800 500 7558 15 1 16 0
15985 500 8853 29 2 19 0
16075 500 10147 29 3 3 0
17316 500 8432 15 2 3 0
17456 500 12122 21 1 5 0
18810 500 12162 29 3 8 0
19711 500 15162 29 2 18 0
22350 500 14800 29 5 16 0
25112 500 24001 22 3 5 0
25744 500 29988 29 2 12 0
28591 500 3705 24 3 7 0
32000 500 50000 15 6 22 0
32159 500 14567 29 1 12 0
39560 500 5671 29 3 5 0
44001 500 6400 25 3 19 0
48000 500 20000 15 1 21 0
50358 500 6690 3 3 17 0
52721 500 18137 15 1 22 0
17832 502 14186 24 3 3 0
55982 502 45611 29 3 20 0
13770 503 9692 5 6 29 0
35160 503 81240 3 3 4 0
32761 504 100082 29 3 25 0
31958 505 29901 29 2 20 0
12746 508 21949 29 4 18 0
14582 508 10596 15 6 12 0
21467 509 20426 29 3 28 0
8361 510 13047 14 3 3 0
66818 511 68750 18 2 8 0
14919 512 37857 15 5 20 0
28057 512 17215 26 3 17 0
12554 513 9806 29 1 16 0
13306 516 12375 29 2 7 0
14001 518 10200 29 3 21 0
20567 518 25043 29 3 20 0
29492 518 61373 29 2 19 1
45632 518 52413 29 4 12 0
59687 518 30253 29 2 5 0
12087 520 5647 29 3 5 0
12129 520 61061 14 3 25 0
14406 520 15373 29 5 10 0
14785 520 18152 15 2 21 0
17283 520 32934 29 3 3 0
18568 520 8583 29 3 21 0
18700 520 10965 29 4 21 0
24720 520 25372 21 3 21 1
32221 520 10976 15 5 10 0
35069 520 40482 29 4 21 0
14742 521 48017 29 3 29 0
15983 521 21068 29 3 12 0
